NO,作答ID,用户ID,开始时间,结束时间,作答总时长(秒),作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,请阅读上述知情同意书,您目前是否在职（包括全职、兼职、灵活、自雇等）？,过去一个月，您平均每周锻炼几次？,您每次锻炼平均多长时间（分钟）,[image],[image],[image],[image],Source,Frame,您觉得刚刚给出的健身计划是,您觉得刚刚给出的健身计划是,您觉得刚刚给出的健身计划是,Attitude,根据刚刚阅读的运动健康计划，请根据您的真实想法，评价以下每句话与您情况的符合程度-我预计会按照健身计划的建议去做,根据刚刚阅读的运动健康计划，请根据您的真实想法，评价以下每句话与您情况的符合程度-我想要按照给的健身计划的建议去做,根据刚刚阅读的运动健康计划，请根据您的真实想法，评价以下每句话与您情况的符合程度-我打算按照健身计划的建议去做,Intention,如果你真的很有动力，对你来说，接下来一个月里坚持规律运动的难易程度是？「规律运动」是指：在空闲时间里，每周至少3次，每次持续20到30分钟以上的高强度体育活动，其强度足以感到呼吸急促、心跳加快并大量出汗。,如果你真的很有动力，你有多大信心能在接下来一个月里坚持规律运动？,如果你真的很有动力，你有多确定自己能在接下来一个月里坚持规律运动？,SE,您觉得AI聊天机器人是,您觉得AI聊天机器人是,您觉得AI聊天机器人是,您觉得AI聊天机器人是,您觉得AI聊天机器人是,Trust,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我经常思考我的健康问题,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我非常在意自己的健康,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我非常关注自己的健康,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我经常检查自己的健康状况,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我会注意一天当中身体的感受,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我通常能意识到自己的健康状况,HC,Sex,您的年龄是,您的工作类型是,您的工作类型是-其他-文本,您的工作方式是,您觉得您平常的工作需要久坐吗,您从事的行业是,您从事的行业是-其他-文本,您的工作地点是,您的最高学历是
33,WPAnN8vA9wJ,eyPgD4QL,2026-04-03 17:18:59,2026-04-03 17:33:34,875,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.104.44.6,116.3157920,40.0751940,北京市,市辖区,MOBILE,Android,Chrome,373px*818px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,120,1,,,,0,1,6,7,6,6.33333333333333,5,6,7,6,6,7,7,6.66666666666667,5,6,7,6,6,6,5,6,6,6,6,5,5.66666666666667,0,46,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,零售 / 服务业（如：销售、餐饮、酒店、客户服务、物流、电商运营等）,,一线城市（如：北京、上海、广州、深圳、杭州）,副学士 / 大专
34,Q453O1yp8Ad,5LmZrK4e,2026-04-03 17:26:38,2026-04-03 17:32:31,353,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,39.144.124.82,120.1803852,30.4777847,浙江省,杭州市,MOBILE,iOS,Apple WebKit,414px*736px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,40,,1,,,0,0,6,6,7,6.33333333333333,5,5,6,5.33333333333333,5,6,5,5.33333333333333,6,7,7,6,7,6.6,6,7,7,6,5,6,6.16666666666667,0,35,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
35,nNq4OK21vyN,VMJyKKOe,2026-04-03 17:19:13,2026-04-03 17:32:08,775,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.160.148.113,121.0916657,41.0963516,辽宁省,沈阳市,MOBILE,iOS,Apple WebKit,390px*844px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,60,,1,,,0,0,6,7,6,6.33333333333333,7,6,6,6.33333333333333,7,6,6,6.33333333333333,6,6,7,6,6,6.2,6,7,7,5,6,6,6.16666666666667,0,30,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,文创 / 传媒 / 广告（如：媒体、艺术、内容创作、设计、市场营销、广告、公关等）,,二线城市,本科
36,lxyapEvANm4,pLzY1Vk7,2026-04-03 17:22:29,2026-04-03 17:30:19,470,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,111.55.35.135,102.7460861,24.9484558,云南省,昆明市,MOBILE,iOS,Apple WebKit,375px*812px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,40,,1,,,0,0,6,7,5,6,5,6,7,6,5,6,7,6,6,5,6,7,6,6,5,6,5,6,6,7,5.83333333333333,0,56,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,零售 / 服务业（如：销售、餐饮、酒店、客户服务、物流、电商运营等）,,二线城市,硕士及以上
37,oBgpWQBx4d0,7KvQbAQM,2026-04-03 17:18:29,2026-04-03 17:29:34,665,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.104.67.206,113.4778130,23.1938420,广东省,广州市,MOBILE,Android,Chrome,412px*915px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,30,1,,,,0,1,7,7,6,6.66666666666667,6,7,6,6.33333333333333,6,6,5,5.66666666666667,7,6,6,7,7,6.6,6,7,7,4,7,6,6.16666666666667,0,27,全职员工（每周 ≥35 小时）,,混合办公（办公室 + 远程）,需要,医疗 / 健康（如：医生、护士、药学、公共卫生、健康管理等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
38,oBgpW34kYKO,2MdRVvWL,2026-04-03 17:19:01,2026-04-03 17:29:07,606,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,117.136.8.229,121.4858910,30.9146280,上海市,市辖区,MOBILE,Android,Chrome,360px*803px,"Stimuli C. human gain,Stimuli C. human gain",本人已閱讀及明白上述內容，我同意參與這項研究,是,1次,30,,,1,,1,1,6,7,7,6.66666666666667,6,7,6,6.33333333333333,6,5,6,5.66666666666667,5,6,7,5,6,5.8,6,7,7,5,5,6,6,1,27,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,文创 / 传媒 / 广告（如：媒体、艺术、内容创作、设计、市场营销、广告、公关等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
39,WPAnrYZzoxE,kMrmRne9,2026-04-03 17:18:45,2026-04-03 17:28:58,613,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,113.12.218.19,107.8942650,23.0270270,广西壮族自治区,南宁市,MOBILE,Android,Chrome,407px*904px,"Stimuli B. AI loss,Stimuli B. AI loss",本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,30,,1,,,0,0,6,7,7,6.66666666666667,7,6,6,6.33333333333333,6,7,7,6.66666666666667,7,6,7,7,6,6.6,7,6,7,6,5,5,6,0,29,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
40,bNPBnKD2Dnk,BepZBrA7,2026-04-03 17:22:39,2026-04-03 17:28:44,365,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.160.158.152,117.1803480,34.2697620,江苏省,苏州市,MOBILE,Android,Chrome,355px*793px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,60,,1,,,0,0,5,6,6,5.66666666666667,5,6,6,5.66666666666667,5,6,6,5.66666666666667,5,6,5,5,5,5.2,5,6,5,5,5,5,5.16666666666667,0,26,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,医疗 / 健康（如：医生、护士、药学、公共卫生、健康管理等）,,三线及以下城市,硕士及以上
41,J94EbVXrjrw,27aJP5VL,2026-04-03 17:24:15,2026-04-03 17:28:23,248,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,61.159.16.66,115.7749510,39.2600730,河北省,保定市,MOBILE,Android,Chrome,360px*800px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,45,,,1,,1,1,6,7,7,6.66666666666667,6,5,7,6,5,7,7,6.33333333333333,6,6,7,7,7,6.6,5,7,7,6,6,7,6.33333333333333,0,36,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
42,Q453bOAjx2Q,J7BOnr1L,2026-04-03 17:20:28,2026-04-03 17:28:10,462,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.104.121.101,113.8869610,29.7099810,湖北省,武汉市,MOBILE,Android,Chrome,360px*800px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,40,,,,1,1,0,6,6,7,6.33333333333333,6,7,6,6.33333333333333,5,6,5,5.33333333333333,6,5,7,6,6,6,5,6,5,5,7,6,5.66666666666667,1,57,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,零售 / 服务业（如：销售、餐饮、酒店、客户服务、物流、电商运营等）,,三线及以下城市,副学士 / 大专
43,NRjEbaD1gAb,LQ8jndW7,2026-04-03 17:20:40,2026-04-03 17:28:02,442,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.160.213.14,120.4163120,30.1477450,浙江省,绍兴市,MOBILE,Android,Chrome,412px*915px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,60,,1,,,0,0,6,5,6,5.66666666666667,5,6,6,5.66666666666667,7,6,6,6.33333333333333,6,5,6,6,6,5.8,5,6,6,6,6,6,5.83333333333333,0,30,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,政府 / 公共服务（如：政府机构、事业单位、公共管理、社会服务机构等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,副学士 / 大专
44,vNaPWWzAo9V,aMglpvw7,2026-04-03 17:19:05,2026-04-03 17:27:51,526,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,119.135.228.65,113.0465241,23.6786288,广东省,清远市,MOBILE,iOS,Apple WebKit,375px*667px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,60,1,,,,0,1,6,5,7,6,5,6,5,5.33333333333333,4,6,5,5,5,6,4,7,6,5.6,6,7,5,4,6,5,5.5,1,35,全职员工（每周 ≥35 小时）,,混合办公（办公室 + 远程）,需要,零售 / 服务业（如：销售、餐饮、酒店、客户服务、物流、电商运营等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
45,mn8jAaOn6ad,9LQyPx4L,2026-04-03 17:19:13,2026-04-03 17:27:31,498,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,113.244.70.250,112.9880420,28.1711710,湖南省,长沙市,MOBILE,Android,Chrome,360px*806px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,60,1,,,,0,1,6,7,7,6.66666666666667,6,5,6,5.66666666666667,5,6,6,5.66666666666667,6,6,7,6,7,6.4,6,5,7,7,6,6,6.16666666666667,1,26,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,互联网 / 科技 （如：软件开发、IT、互联网产品、数据分析、平台运营等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
46,mn8jAE5p4Kx,xMo22ORe,2026-04-03 17:18:55,2026-04-03 17:27:27,512,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,119.132.253.144,111.9855440,21.8738740,广东省,阳江市,MOBILE,Android,Chrome,412px*892px,"Stimuli D. human loss,Stimuli D. human loss",本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,60,,,,1,1,0,7,6,7,6.66666666666667,7,7,7,7,7,7,7,7,5,6,6,4,5,5.2,7,7,7,5,7,6,6.5,1,25,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,文创 / 传媒 / 广告（如：媒体、艺术、内容创作、设计、市场营销、广告、公关等）,,一线城市（如：北京、上海、广州、深圳、杭州）,硕士及以上
47,WPAnrkWwo8b,8MZkxDK7,2026-04-03 17:18:44,2026-04-03 17:27:21,517,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,112.14.93.195,120.5411970,27.5901640,浙江省,温州市,MOBILE,Android,Chrome,360px*806px,"Stimuli D. human loss,Stimuli D. human loss,Stimuli D. human loss",本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,60,,,,1,1,0,7,5,7,6.33333333333333,5,6,5,5.33333333333333,5,7,7,6.33333333333333,4,5,5,6,7,5.4,6,6,7,5,5,6,5.83333333333333,1,39,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,三线及以下城市,本科
48,oBgpW4rbn9R,MWWo1GBM,2026-04-03 17:19:00,2026-04-03 17:27:18,498,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,114.239.3.255,118.2086430,33.4583130,江苏省,宿迁市,MOBILE,Android,Chrome,360px*803px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,45,,,,1,1,0,5,6,7,6,5,6,6,5.66666666666667,5,6,5,5.33333333333333,6,5,6,6,5,5.6,5,6,7,5,6,7,6,1,56,全职员工（每周 ≥35 小时）,,工作地点不固定 / 经常外出工作,不需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,三线及以下城市,硕士及以上
49,mn8jARPgpKx,7XA551dL,2026-04-03 17:19:03,2026-04-03 17:27:03,480,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,39.163.159.88,116.4643930,33.9136550,河南省,商丘市,MOBILE,Android,Chrome,361px*801px,"Stimuli B. AI loss,Stimuli B. AI loss",本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,40,,1,,,0,0,6,6,5,5.66666666666667,5,6,5,5.33333333333333,4,5,5,4.66666666666667,5,5,4,6,6,5.2,5,6,6,4,5,5,5.16666666666667,1,37,全职员工（每周 ≥35 小时）,,主要在办公室工作,不需要,教育 / 科研（如：学校教师、培训机构、大学研究人员、科研机构等）,,三线及以下城市,硕士及以上
50,oBgpWaKakPd,4enE6BNL,2026-04-03 17:19:43,2026-04-03 17:27:02,439,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,112.39.100.90,123.3865609,41.7710992,辽宁省,沈阳市,MOBILE,iOS,Apple WebKit,402px*874px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,否,3次,45,,1,,,0,0,6,6,7,6.33333333333333,6,6,7,6.33333333333333,6,6,6,6,5,5,6,5,6,5.4,5,6,6,6,7,6,6,0,24,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,互联网 / 科技 （如：软件开发、IT、互联网产品、数据分析、平台运营等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
51,mn8jA6Xvnmd,Mx2ZAanL,2026-04-03 17:20:20,2026-04-03 17:26:58,398,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,39.144.190.51,113.0760510,28.1899390,湖南省,长沙市,MOBILE,Android,Chrome,362px*804px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,30,,,1,,1,1,6,5,7,6,6,5,5,5.33333333333333,4,7,6,5.66666666666667,5,5,7,6,5,5.6,7,7,5,7,6,6,6.33333333333333,1,46,全职员工（每周 ≥35 小时）,,混合办公（办公室 + 远程）,需要,教育 / 科研（如：学校教师、培训机构、大学研究人员、科研机构等）,,三线及以下城市,高中及以下
52,nNq4WvWXaOB,7XA6wROL,2026-04-03 17:18:43,2026-04-03 17:26:47,484,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.88.143.160,112.4407688,34.4167215,河南省,洛阳市,MOBILE,iOS,Apple WebKit,430px*932px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,45,,1,,,0,0,5,7,7,6.33333333333333,6,7,7,6.66666666666667,6,7,5,6,6,6,7,5,7,6.2,5,7,6,6,5,7,6,1,30,全职员工（每周 ≥35 小时）,,主要在办公室工作,不需要,教育 / 科研（如：学校教师、培训机构、大学研究人员、科研机构等）,,三线及以下城市,硕士及以上
53,vNaPWxBPXkV,LQ8xaxq7,2026-04-03 17:18:41,2026-04-03 17:26:37,476,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,10.100.138.41,113.3315730,33.7477480,-,-,MOBILE,Android,Chrome,360px*803px,"Stimuli C. human gain,Stimuli C. human gain",本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,10,,,1,,1,1,5,7,6,6,5,6,6,5.66666666666667,4,6,5,5,5,6,5,4,5,5,5,4,4,5,5,6,4.83333333333333,0,23,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,文创 / 传媒 / 广告（如：媒体、艺术、内容创作、设计、市场营销、广告、公关等）,,二线城市,本科
54,lxyap2BrAEq,8MZlk91L,2026-04-03 17:19:03,2026-04-03 17:26:36,453,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,39.184.79.84,121.6365560,28.3026280,浙江省,台州市,MOBILE,Android,Chrome,393px*873px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,60,1,,,,0,1,7,5,6,6,7,5,6,6,5,7,6,6,7,6,5,6,7,6.2,7,5,6,5,7,6,6,1,30,全职员工（每周 ≥35 小时）,,混合办公（办公室 + 远程）,需要,互联网 / 科技 （如：软件开发、IT、互联网产品、数据分析、平台运营等）,,二线城市,本科
55,XONEwkEbdkB,0eyrOxQM,2026-04-03 17:18:50,2026-04-03 17:26:02,432,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,124.160.200.211,119.7002080,30.2320580,浙江省,杭州市,MOBILE,Android,Chrome,360px*772px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,40,,1,,,0,0,7,6,7,6.66666666666667,7,6,6,6.33333333333333,5,7,6,6,7,6,6,7,6,6.4,6,7,7,6,6,7,6.5,1,34,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
56,Q453bmqElob,5LmqPV4L,2026-04-03 17:19:00,2026-04-03 17:26:01,421,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,139.227.111.177,121.4501320,31.3244990,上海市,市辖区,MOBILE,Android,Chrome,360px*800px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,75,,,,1,1,0,7,5,6,6,6,5,7,6,5,7,6,6,5,7,5,6,5,5.6,5,7,6,7,5,6,6,1,25,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
57,XONEwPngjv5,BMDG969e,2026-04-03 17:18:58,2026-04-03 17:25:49,411,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,175.2.59.155,113.1178180,27.9022680,湖南省,株洲市,MOBILE,Android,Chrome,393px*873px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,60,,1,,,0,0,5,7,7,6.33333333333333,6,6,7,6.33333333333333,5,5,6,5.33333333333333,7,5,5,6,7,6,5,6,5,6,7,7,6,1,25,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,三线及以下城市,本科
58,mn8jAkVVvmg,z7lq3y2L,2026-04-03 17:20:29,2026-04-03 17:25:38,309,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,121.233.153.14,119.3940260,32.3682910,江苏省,扬州市,MOBILE,Android,Chrome,412px*915px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,30,,1,,,0,0,6,7,7,6.66666666666667,6,7,7,6.66666666666667,5,7,7,6.33333333333333,6,7,6,7,6,6.4,6,7,7,7,5,6,6.33333333333333,1,35,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,二线城市,本科
59,oBgpWymjK0O,o7jmdKMw,2026-04-03 17:18:55,2026-04-03 17:25:38,403,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.104.145.241,120.1630640,33.3873870,江苏省,常州市,MOBILE,Android,Chrome,360px*800px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,40,,,1,,1,1,7,7,6,6.66666666666667,6,6,6,6,5,5,5,5,6,6,7,6,6,6.2,6,6,6,6,6,6,6,1,44,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,三线及以下城市,本科
60,nNq4WQdVD3A,ekqKO2Q7,2026-04-03 17:19:05,2026-04-03 17:25:35,390,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,125.73.23.14,110.2140820,25.2336710,广西壮族自治区,南宁市,MOBILE,Android,Chrome,363px*798px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,120,1,,,,0,1,6,7,7,6.66666666666667,6,6,5,5.66666666666667,6,5,6,5.66666666666667,5,5,6,6,5,5.4,5,6,6,5,6,5,5.5,0,38,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,互联网 / 科技 （如：软件开发、IT、互联网产品、数据分析、平台运营等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
61,oBgpWyljl3W,en9K252L,2026-04-03 17:19:10,2026-04-03 17:25:34,384,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,125.73.11.167,110.1755890,25.2612610,广西壮族自治区,南宁市,MOBILE,Android,Chrome,360px*800px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,120,,,,1,1,0,6,7,7,6.66666666666667,6,6,5,5.66666666666667,6,5,6,5.66666666666667,5,5,6,6,5,5.4,5,6,6,5,6,5,5.5,0,41,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,金融 / 法律 / 咨询（如：银行、保险、投资、证券、会计、法律服务、管理咨询等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
62,lxyap3qDPr4,leNXpDW7,2026-04-03 17:18:53,2026-04-03 17:25:25,392,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,120.40.195.128,117.3595230,25.9513760,福建省,三明市,MOBILE,Android,Chrome,360px*800px,"Stimuli A. AI gain,Stimuli A. AI gain",本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,35,1,,,,0,1,4,5,5,4.66666666666667,5,6,5,5.33333333333333,3,5,4,4,5,6,6,6,5,5.6,4,6,5,5,4,5,4.83333333333333,0,28,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,互联网 / 科技 （如：软件开发、IT、互联网产品、数据分析、平台运营等）,,二线城市,本科
63,gnX45Vo6dwO,eNQDNvbL,2026-04-03 17:18:42,2026-04-03 17:25:24,402,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,121.13.84.227,113.7845110,23.0933120,广东省,东莞市,MOBILE,Android,Chrome,360px*800px,"Stimuli D. human loss,Stimuli D. human loss",本人已閱讀及明白上述內容，我同意參與這項研究,是,1次,20,,,,1,1,0,5,5,5,5,4,5,5,4.66666666666667,3,4,5,4,5,5,4,6,5,5,4,5,5,4,5,5,4.66666666666667,0,41,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
64,NRjEb8gbrWm,G7X2JEDe,2026-04-03 17:18:43,2026-04-03 17:25:14,391,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,180.143.68.106,111.6459620,24.5765770,广西壮族自治区,贺州市,MOBILE,Android,Chrome,360px*800px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,40,,,,1,1,0,6,6,6,6,6,6,6,6,2,5,5,4,4,4,4,5,5,4.4,6,7,7,5,6,6,6.16666666666667,0,34,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
65,Q453b43m4kG,J7BO6jjL,2026-04-03 17:18:30,2026-04-03 17:25:12,402,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.102.56.122,121.5507240,38.9540060,辽宁省,大连市,MOBILE,Android,Chrome,360px*802px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,30,1,,,,0,1,7,5,7,6.33333333333333,5,6,6,5.66666666666667,7,6,5,6,7,6,6,7,6,6.4,5,5,6,6,6,4,5.33333333333333,0,36,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,互联网 / 科技 （如：软件开发、IT、互联网产品、数据分析、平台运营等）,,二线城市,本科
66,XONEwOYld25,J7BJPQZ7,2026-04-03 17:19:19,2026-04-03 17:25:12,353,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.104.71.229,111.4569080,22.3783780,广东省,茂名市,MOBILE,Android,Chrome,393px*851px,"Stimuli D. human loss,Stimuli D. human loss",本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,30,,,,1,1,0,6,7,7,6.66666666666667,6,7,7,6.66666666666667,6,7,7,6.66666666666667,7,6,6,7,7,6.6,6,7,7,6,7,7,6.66666666666667,1,31,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,金融 / 法律 / 咨询（如：银行、保险、投资、证券、会计、法律服务、管理咨询等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
67,WPAnrPowRE0,DMxWo5Qe,2026-04-03 17:18:41,2026-04-03 17:25:10,389,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.104.234.109,80.2548590,41.1697360,新疆维吾尔自治区,阿克苏地区,MOBILE,Android,Chrome,407px*904px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,60,,,,1,1,0,5,6,5,5.33333333333333,5,5,6,5.33333333333333,5,5,6,5.33333333333333,5,5,6,6,5,5.4,5,5,6,5,5,6,5.33333333333333,1,25,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,政府 / 公共服务（如：政府机构、事业单位、公共管理、社会服务机构等）,,三线及以下城市,本科
